name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range,MilesPerDollar,RangePerKWh,ScoreBucket
Smart #5 Review,7,50000,https://www.electrifying.com/reviews/smart-car-reviews/5/,84,400,3.5,366,0.00732,4.357142857142857,7-8
Jeep Compass Review,6,45000,https://www.electrifying.com/reviews/jeep-reviews/compass/,85,160,4.4,404,0.008977777777777777,4.752941176470588,5-6
Renault 4 E-Tech Electric Review,8,27000,https://www.electrifying.com/reviews/renault-4/,52,100,4.8,247,0.009148148148148148,4.75,7-8
Citroen e-C5 Aircross Review,7,40000,https://www.electrifying.com/reviews/citroen-reviews/e-c5-aircross/,85,160,4.4,422,0.01055,4.964705882352941,7-8
Abarth 600e Review,8,36975,https://www.electrifying.com/reviews/abarth/600e/,51,151,4.0,208,0.005625422582826234,4.078431372549019,7-8
Range Rover Electric Review,8,140000,https://www.electrifying.com/reviews/land-rover-reviews/range-rover-electric/,117,350,4.1,310,0.002214285714285714,2.6495726495726495,7-8
Ford Puma Gen-E Review,8,29995,https://www.electrifying.com/reviews/ford-reviews/puma-gen-e/,43,100,5.0,233,0.007767961326887815,5.4186046511627906,7-8
New 2025 Tesla Model Y Review,9,44990,https://www.electrifying.com/reviews/tesla-reviews/model-y-2025/,75,250,4.6,387,0.008601911535896865,5.16,9-10
Ford e-Transit Courier Review,8,34490,https://www.electrifying.com/reviews/ford-reviews/e-transit-courier/,43,100,4.1,186,0.005392867497825457,4.325581395348837,7-8
Kia PV5 Review,9,30000,https://www.electrifying.com/reviews/kia-reviews/pv5/,57,150,4.1,250,0.008333333333333333,4.385964912280702,9-10
Skoda Enyaq 2025 Review,9,39000,https://www.electrifying.com/reviews/skoda-reviews/new-enyaq/,68,175,4.6,365,0.00935897435897436,5.367647058823529,9-10
MGS5 EV Review,8,28495,https://www.electrifying.com/reviews/mg-reviews/mgs5-ev/,56,139,4.5,298,0.010457975083347957,5.321428571428571,7-8
Volvo ES90 Review,9,70000,https://www.electrifying.com/reviews/volvo-reviews/es90/,95,350,4.4,437,0.006242857142857143,4.6,9-10
Maserati Grecale Folgore Review,7,99165,https://www.electrifying.com/reviews/maserati/grecale-folgore/,97,150,4.1,310,0.0031261029597136085,3.195876288659794,7-8
Mercedes CLA Review,9,45000,https://www.electrifying.com/reviews/mercedes-reviews/cla/,71,320,4.1,465,0.010333333333333333,6.549295774647887,9-10
New Kia EV4 review,8,32000,https://www.electrifying.com/reviews/kia-reviews/ev4/,69,118,4.1,391,0.01221875,5.666666666666667,7-8
Citroen e-Relay Review,7,49485,https://www.electrifying.com/reviews/citroen-reviews/e-relay/,110,150,4.1,261,0.005274325553197939,2.3727272727272726,7-8
Mercedes-Benz eVito Review,7,48530,https://www.electrifying.com/reviews/mercedes-reviews/evito/,66,80,4.1,162,0.0033381413558623532,2.4545454545454546,7-8
Volkswagen Transporter Review,8,42800,https://www.electrifying.com/reviews/volkswagen-reviews/transporter/,65,125,4.1,201,0.004696261682242991,3.0923076923076924,7-8
BYD Atto 2 Review,8,30000,https://www.electrifying.com/reviews/byd/atto-2//,50,65,4.1,260,0.008666666666666666,5.2,7-8
Zeekr 7X Review,8,44090,https://www.electrifying.com/reviews/zeekr/7x/,87,360,4.1,382,0.008664096166931277,4.390804597701149,7-8
Mercedes-Benz eSprinter Review,8,58740,https://www.electrifying.com/reviews/mercedes-reviews/esprinter-1/,97,115,4.1,271,0.004613551242764726,2.7938144329896906,7-8
Kia EV3 Review,10,32995,https://www.electrifying.com/reviews/kia-reviews/ev3/,66,151,4.1,375,0.01136535838763449,5.681818181818182,9-10
Mazda 6e Review,7,42000,https://www.electrifying.com/reviews/mazda-reviews/6e/,74,200,4.5,345,0.008214285714285714,4.662162162162162,7-8
DS No 8 Review,8,60000,https://www.electrifying.com/reviews/ds-reviews/no-8/,85,160,3.9,469,0.007816666666666666,5.517647058823529,7-8
Skoda Elroq Review,9,31500,https://www.electrifying.com/reviews/skoda-reviews/elroq/,73,175,4.1,360,0.011428571428571429,4.931506849315069,9-10
Audi S e-tron GT Review 2025,9,108680,https://www.electrifying.com/reviews/audi/e-tron-gt/,97,320,4.1,356,0.0032756716967243284,3.670103092783505,9-10
Hyundai IONIQ 9 Review,8,65000,https://www.electrifying.com/reviews/hyundai-reviews/ioniq-9/,110,210,3.5,385,0.005923076923076923,3.5,7-8
BYD Sealion 7 Review,7,46990,https://www.electrifying.com/reviews/byd/sealion-7/,87,190,4.1,312,0.006639710576718451,3.586206896551724,7-8
Alpine A290 Review,9,33500,https://www.electrifying.com/reviews/alpine/a290/,52,100,4.1,236,0.007044776119402985,4.538461538461538,9-10
Suzuki e Vitara Review,6,29000,https://www.electrifying.com/reviews/suzuki/e-vitara/,55,150,4.1,249,0.008586206896551724,4.527272727272727,5-6
MINI Aceman Review,8,31800,https://www.electrifying.com/reviews/mini-reviews/aceman/,73,95,4.4,252,0.007924528301886792,3.452054794520548,7-8
Citroen e-Dispatch Review,8,41210,https://www.electrifying.com/reviews/citroen-reviews/e-dispatch/,75,100,4.1,217,0.0052657122057752975,2.8933333333333335,7-8
Citroen e-C4 Review 2025,8,26295,https://www.electrifying.com/reviews/citroen-reviews/citroen-e-c4/,52,100,4.8,261,0.009925841414717628,5.019230769230769,7-8
Vauxhall Grandland Review,6,37435,https://www.electrifying.com/reviews/vauxhall/grandland/,85,151,4.1,325,0.008681714972619206,3.823529411764706,5-6
Leapmotor C10 Review,6,36500,https://www.electrifying.com/reviews/leapmotor/c10/,69,84,4.1,261,0.007150684931506849,3.782608695652174,5-6
Renault 5 E-Tech Review,9,22995,https://www.electrifying.com/reviews/renault-reviews/r5-e-tech/,46,100,4.8,255,0.011089367253750815,5.543478260869565,9-10
