Model,Year,Price
1500 AT4,2020,42000.0
1500 AT4,2021,42974.5
1500 AT4,2022,50440.0
1500 AT4,2024,59336.0
1500 AT4X,2023,68390.0
1500 Base,2018,21995.0
1500 Denali,2017,30008.5
1500 Denali,2018,31996.5
1500 Denali,2021,40423.333333333336
1500 Denali Ultimate,2022,54275.0
1500 Denali Ultimate,2023,64995.0
1500 Elevation,2021,40145.0
1500 Elevation,2022,44450.0
1500 Elevation,2023,48621.0
1500 Elevation,2024,47493.0
1500 Limited Denali,2022,47575.0
1500 Limited SLE,2019,27489.0
1500 Limited SLT,2022,42150.0
1500 SLE,2016,18950.0
1500 SLE,2017,13450.0
1500 SLE,2021,18950.0
1500 SLT,2015,24995.0
1500 SLT,2016,22499.0
1500 SLT,2018,28975.0
1500 SLT,2020,36592.666666666664
1500 SLT,2021,28746.0
1500 SLT,2024,51795.0
1500 SLT,2025,52775.0
190SL Convertible,1960,179800.0
2 Launch Edition,2021,21395.0
2 Long Range Dual Motor,2022,23088.333333333332
2 Long range Dual motor - AWD - Plus,2022,32995.0
200 C,2015,9897.0
200 LX,2017,11489.0
200 Limited,2012,10850.0
200 Limited,2015,8495.0
200 S,2015,7697.0
200 Touring,2011,8774.5
200 Touring,2013,7367.5
228 228i xDrive,2016,14787.0
228 Gran Coupe i sDrive,2022,28291.0
228 Gran Coupe i sDrive,2024,42895.0
228 Gran Coupe i xDrive,2021,23995.0
228 Gran Coupe i xDrive,2022,27995.0
228 Gran Coupe i xDrive,2023,32482.5
228 Gran Coupe i xDrive,2024,42550.375
228 Gran Coupe sDrive,2021,22000.0
228 Gran Coupe xDrive,2020,22624.5
228 xDrive,2016,23995.0
230 i xDrive,2023,35489.0
230 i xDrive,2024,47886.666666666664
230 i xDrive,2025,46325.0
2500 AT4,2020,49495.0
2500 AT4,2024,74537.0
2500 Big Horn,2013,19999.0
2500 Big Horn,2019,35989.0
2500 Big Horn Crew Cab 4x4 6'4' Box,2023,42000.0
2500 Big Horn Crew Cab 4x4 6'4' Box,2024,43994.0
2500 Big Horn Crew Cab 4x4 8' Box,2023,46494.0
2500 Denali,2021,57881.0
2500 Denali,2022,53774.0
2500 Denali Ultimate,2024,105800.0
2500 SLE,2022,40875.0
2500 SLT,2024,69877.5
296 GTB,2022,344999.0
296 GTS,2023,554999.0
296 GTS Convertible,2024,469888.0
3 Long Range,2018,23492.0
3 Long Range,2019,19997.5
3 Long Range,2020,24997.0
3 Long Range,2021,25010.5
3 Long Range,2022,29900.0
3 Performance,2019,16977.0
3 Performance,2020,24989.0
3 Performance,2022,27828.0
3 Standard,2018,18500.0
3 Standard Range Plus,2021,20487.5
300 Base,2005,6990.0
300 Limited,2018,15850.0
300 Limited,2020,18597.0
300 S,2014,11260.0
300 S,2021,20600.0
300 S,2022,22410.5
300 Touring,2019,16495.0
300 Touring,2020,24869.5
300 Touring,2021,23500.0
300 Touring,2022,22485.5
300 Touring L,2018,23998.0
300C Base,2016,14995.0
320 i,2015,15000.0
320 i,2016,11292.5
320 i,2017,12999.0
320 i,2018,14995.0
320 i xDrive,2015,10995.0
320 i xDrive,2017,16788.0
325 325xi,2006,4500.0
325 Ci,2003,10995.0
328 328i xDrive,2016,18600.0
328 328xi,2008,7449.0
328 Gran Turismo i xDrive,2014,12495.0
328 Gran Turismo xDrive,2016,18499.0
328 I,2016,16998.0
328 i,2013,10500.0
328 i xDrive,2011,6999.0
328 i xDrive,2014,12495.0
328 i xDrive,2015,11888.0
328 xDrive,2013,10674.5
328 xDrive,2014,11000.0
328 xDrive,2015,13395.5
330 330i,2019,18500.0
330 330i,2020,21495.0
330 Gran Turismo i xDrive,2018,14985.0
330 I xDrive,2022,29998.0
330 i,2017,12995.0
330 i xDrive,2017,16500.0
330 i xDrive,2018,19998.0
330 i xDrive,2020,24693.0
330 i xDrive,2021,28134.5
330 i xDrive,2022,29769.0
330 i xDrive,2024,35424.88888888889
330 i xDrive,2025,49764.0
330 xDrive,2017,14950.0
330 xDrive,2018,20495.0
330 xDrive,2019,29231.5
330 xDrive,2021,28995.5
330 xDrive,2022,32389.0
330 xDrive,2023,40587.5
330e Base,2022,29549.0
330e Base,2023,28772.0
330e Base,2024,30500.0
335 xDrive,2014,12477.0
3500 Big Horn,2023,52000.0
3500 Big Horn Crew Cab 4x4 8' Box,2024,48475.0
3500 Laramie,2018,51998.0
3500 Longhorn,2017,44888.0
3500 SLT,2024,70888.5
3500 Tradesman Crew Cab 4x4 8' Box,2022,50422.5
356 Replica,1959,49800.0
360 Modena Spider,2002,142449.5
428 Gran Coupe i xDrive,2015,13985.0
428 Gran Coupe i xDrive,2016,17655.25
428 i xDrive,2014,13450.0
428 i xDrive,2015,17926.0
430 Gran Coupe i,2017,14995.0
430 Gran Coupe i,2022,35757.0
430 Gran Coupe i xDrive,2018,19300.0
430 Gran Coupe i xDrive,2019,21395.0
430 Gran Coupe i xDrive,2023,40980.0
430 Gran Coupe i xDrive,2024,36067.5
430 i,2018,16949.0
430 i,2019,27500.0
430 i xDrive,2018,15400.0
430 i xDrive,2021,36988.0
430 i xDrive,2022,34989.0
430 i xDrive,2025,55273.2
435 Gran Coupe i,2015,19995.0
435 Gran Coupe i xDrive,2015,18088.0
435 i xDrive,2014,18072.0
488 GTB Base,2017,274999.0
488 Spider Base,2018,286888.0
488 Spider Base,2019,244999.0
4Runner Limited,2019,33643.0
4Runner Limited,2022,46900.0
4Runner Limited,2023,47890.0
4Runner Limited,2024,55235.0
4Runner Limited V8,2008,10990.0
4Runner SR5,2024,41587.5
4Runner SR5 Premium,2021,36532.0
4Runner TRD Off Road,2021,40998.0
4Runner TRD Off Road Premium,2021,43920.0
4Runner TRD Pro,2023,62998.0
500X Lounge,2017,11875.0
500X Trekking,2018,9890.0
500e INSPI(RED) FWD,2024,27994.0
528 528i xDrive,2014,8495.0
528 i xDrive,2013,13995.0
528 i xDrive,2015,11632.5
528 xDrive,2014,10505.0
530 530i,2017,14995.0
530 530i xDrive,2024,61000.0
530 I xDrive,2019,26998.0
530 i,1994,6985.0
530 i xDrive,2017,19950.0
530 i xDrive,2019,15995.0
530 i xDrive,2022,36778.666666666664
530 i xDrive,2023,44995.0
530 i xDrive,2024,49615.25
530 i xDrive,2025,68225.0
530 xDrive,2017,20986.5
530 xDrive,2018,17500.0
530 xDrive,2019,21938.5
530 xDrive,2021,31995.0
530e xDrive iPerformance,2018,25985.0
535 535I 4 DOOR SEDAN 3.0L 6 CYL TURBO,2016,12999.0
535 535i,2015,12500.0
535 535i,2016,15994.0
535 i,2013,7495.0
535 i xDrive,2014,13700.0
535 xDrive,2014,11979.0
540 i xDrive,2022,43014.0
540 xDrive,2020,32491.0
550 550i,2014,11995.0
550 Maranello 550 Maranello,2001,269900.0
550e xDrive,2025,80305.0
640 i xDrive,2014,20655.0
650 650i,2014,11995.0
650 650i,2015,24549.0
650 i xDrive,2016,25800.0
70 2.5T,2022,33249.0
70 2.5T,2025,47431.0
70 2.5T AWD,2025,44772.0
70 3.5T AWD Sport,2024,58698.0
70 3.5T Sport,2025,57910.0
70 Sport,2022,41998.0
718 Boxster S,2017,65980.0
718 Cayman GT4 RS,2025,240000.0
740 740i xDrive,2019,27800.0
740 Li xDrive,2015,15999.0
740 i xDrive,2022,53934.0
740 i xDrive,2024,77487.5
740 i xDrive,2025,97670.66666666667
740 xDrive,2018,27995.0
750 i xDrive,2016,18995.0
750 i xDrive,2018,25985.0
750 i xDrive,2019,35988.0
750 i xDrive,2020,39991.0
750 i xDrive,2021,55644.5
750 i xDrive,2022,48000.0
750 xDrive,2017,25985.0
750e i xDrive,2025,119675.0
750e xDrive,2024,96888.0
760 760i xDrive,2024,91489.0
760 760i xDrive,2025,135525.0
760 i xDrive,2023,85499.33333333333
760 i xDrive,2025,124855.0
80 2.5T,2021,36988.0
80 2.5T,2022,38995.0
80 2.5T,2023,42888.0
80 3.5T,2023,59998.0
80 3.5T,2024,66322.5
80 3.5T Prestige,2025,71998.0
812 GTS,2022,529900.0
812 GTS Base,2021,549915.0
812 Superfast Base,2020,384900.0
840 840Ci,1995,77915.0
840 i,2022,44995.0
840 i xDrive,2020,46888.0
840 i xDrive,2022,54014.333333333336
840 i xDrive,2024,74999.0
840 i xDrive,2025,96082.5
